Name,Quantity,Designator,Footprint,Manufacturer Part,Manufacturer,Part Code,,,,,,,,
SOLDER-TEST-PAD,17,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17",TP,2900-4-15-20-75-14-11-0,Mill-Max Manufacturing Corp.,Unavailable (DNP),,,,,,,,
LM73100RPWR,2,"U1,U11",VQFN-10_L2.0-W2.0-P0.45-TL_1,LM73100RPWR,Texas Instruments,CT03562,,,,,,,,
AP64500SP-13,1,U2,SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,AP64500SP-13,Diodes Incorporated,CT01773,,,,,,,,
STM32F103C8T6,1,U3,STM-LQFP-48_L7.0-W7.0-P0.50,STM32F103C8T6,STMicroelectronics,CT00441,,,,,,,,
MP2760,1,U4,TQFN-30_L5.0-W4.0-P0.50-BL_MP2760GVT-Z,MP2760GVT-000A-P,Monolithic Power Systems Inc.,CT03867,,,,,,,,
NRVTS1060PFST3G,1,U5,TO-277_3P-L5.7-W4.2-LS6.5_SP1060L,NRVTS1060PFST3G,onsemi,Unavailable,,,,,,,,
LM5157QRTERQ1,1,U6,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,LM5157QRTERQ1,Texas Instruments,CT03732,,,,,,,,
LMR54410DBVR_1,1,U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR_1,LMR54410DBVR,Texas Inbstruments,CT03792,,,,,,,,
LTC2955ITS8,1,U8,TSOT-23-8_L2.9-W1.6-P0.65-LS2.8-BL_1,LTC2955ITS8,Analog Devices Inc.,CT03729,,,,,,,,
USB4125-GF-A,1,USB1,USB-C-SMD_TYPE-C-6P,USB4125-GF-A,GCT,Unavailable,,,,,,,,
8MHz,1,X1,OSC-SMD_3P-L3.2-W1.3-P1.2-L,CSTNE8M00GH5C000R0,Murata Electronics,CT03733,,,,,,,,
